Ласковые обращения				
Подуй	ufak	уфак	8.38	уфак
Надо всё доесть	jams' sivəma optəm	ямсь сивома оптом	8.39	ямсь сивома оптом
Не хочешь есть — иди гуляй	af jar̥cat — ar̥t kol'ən't't'	аф ярхцат — архт колентть	8.40	аф ярхцат — архт колентть
				
				
				
Разговор на ночь				
Иди спать	ar̥t matt	архт матт	8.41	архт матт
Уже поздно	pozda n'i	позда ни	8.42	позда ни
Пора спать	madəma n'i	мадома ни	8.43	мадома ни
Я расскажу тебе на ночь сказку	azan t'ejən ven'd'i jofks	азан теен венди ёфкс	8.44	азан теен венди ёфкс
Добрых снов	cebɛr' ott n'ɛjəms	цебярь отт няемс	8.45	цебярь отт няемс
				
				
				
				
Игры				
Лапта/игра в мяч	laptusə kol'ən't't'əma	лаптуса коленттяма	8.46	лаптуса коленттяма
Игра в баночки	banəčkasə kol'ən't't'əma (kol'ən'd'əma)	баночкаса коленттяма (колендема)	8.47	баночкаса коленттяма (колендема)
Ледянка из навоза	gornama	горнама	8.48	горнама
Догонялки	satn'in'aks	сатнинякс	8.49	сатнинякс
Снежный дом	lovən' kudn'e	ловонь кудне	8.50	ловонь кудне
Кататься на санках	nurdən'asə arn'əma	нурданяса арнема	8.51	нурданяса арнема
Строить снеговика	lovən' baba t'ijən'd'əma	ловонь баба тиендема	8.52	ловонь баба тиендема
				
				
				
				
				
Разговор об играх				
Давай играть!	ad'a kol'ənd'əma	адя колендема	8.53	адя колендема
Давай играть в лапту!	ad'a laptusə kol'ən't't'əma	адя лаптуса коленттяма	8.54	адя лаптуса коленттяма
Давай играть в баночки!	ad'a banəčkəsə kol'ən'd'əma	адя баночкаса колендема	8.55	адя баночкаса колендема
Пойдем играть в прятки	kɛšən'd'in'ɛks kol'ən'd'əma	кяшендинякс колендема	8.56	кяшендинякс колендема
Убери игрушки	ur'adajt' kol'ən'd'əmatn'ən'	урядайть колендематнень	8.57	урядайть колендематнень
Хватит играть в телефон	sati tel'efonsə kol'ənd'əms	саты телефонса колендемс	8.58	саты телефонса колендемс
				
				
				
Обращения к родственникам				
мама	t'ɛd'ɛj	тядяй	8.59	тядяй
папа	al'aj	аляй	8.60	аляй
бабушка (по матери)	šavaj	шавай	8.61	шавай
дедушка (по матери)	šɛt'ɛj	щятяй	8.62	щятяй
бабушка (по отцу)	at'aj	атяй	8.63	атяй
дедушка (по отцу)	babaj	бабай	8.64	бабай
пра-(бабушка/дедушка)	s'irɛ-	сире-	8.65	сире-
тетя (о незнакомых)	akas', avan'ɛj	акась, аваняй	8.66	акась, аваняй
дядя (о незнакомых)	al'n'ɛka, šen'ɛ	альняка, щеня	8.67	альняка, щеня
				
Спросить разрешения				
можно я погуляю с друзьями?	možna mol'an ulc'av	можна молян ульцяв	8.68	можна молян ульцяв
можно я поиграю с друзьями?	možna kol'ən'd'an jalgan'ən' mar̥tə?	можна колендян ялганень мархта	8.69	можна колендян ялганень мархта
можно я приглашу друга в гости?	možna mon t'erca jalgaz'en' inžiks?	можна мон терца ялгазень инжикс?	8.70	можна мон терца ялгазень инжикс
можно я пойду в гости?	možna inžiks?	можна инжикс?	8.71	можна инжикс
ты сделал уроки?	ton tijət' s'embe urokn'en'?	тон тиить сембе урокнень?	8.72	тон тиить сембе урокнень
что тебе задали?	mez'ə t'ejət makss't' školəsə?	мезе тейт макссть школаса?	8.73	мезе тейт макссть школаса
иди играй с друзьями	ar̥t jalgatn'ən'd'i	архт ялгатненди	8.74	архт ялгатненди
делай уроки	t'ijit' urokn'ən'	тихть урокнень	8.75	тихть урокнень
Иди домой	ar̥t kudu	архт куду	8.76	архт куду
