положить в холодное место	putəmа kel'mə vasc	путома кельме вастс	5.58	путома кельме вастс
пельмени делать вечером	pel'met't'n'ən' t'ijənd'əmat ilɛt'	пельметтнень тиендемат илять	5.59	пельметтнень тиендемат илять
рыбу жарить вечером	kal̥n'ə žar'əndamat ilɛt'	калхне жарендамат илять	5.60	калхне жарендамат илять
блины испечь	pačat pid'əmat	пачат пидемат	5.61	пачат пидемат
куры	sarast	сараст	5.62	сараст
утки	jaks'arkt	яксяркт	5.63	яксяркт
гуси	mac'ij̊t'	мацихть	5.64	мацихть
травяной чай	t'išən' čaj	тишень чай	5.65	тишень чай
у тебя блины испеклись?	ton' pačat'n'ə pid'əfs't'?             	тонь пачатне пидевсть?	5.66	тонь пачатне пидевсть
испеклись	pid'əft' n'i	пидефть ни	5.67	пидефть ни
а у тебя хлеб испёкся?	a ton' kšit'n'ə pis't'? 	а тонь кшитне писть?	5.68	атонь кшитне писть
и у меня испёкся, хороший	mon'gə pis't', lac	моньге писть, лац	5.69	моньге писть, лац
теперь давай тесто запечём?	t'ɛn'i davaj šapaks't' pic'əsas'k,	тяни давай шапаксть пидсесаськ	5.70	тяни давай шапаксть пидсесаськ
вода кипит уже	vec' lakaz'əvs' n'i	ведсь лаказевсь ни	5.71	ведсь лаказевсь ни
собираем грибы для соления	salijaftəm pankt	салыяфтом панкт	5.72	салыяфтом панкт
