Что сегодня будем готовить?	tămχătəλ muj kawərtti pitλəw? 	тӑмхӑтәԓ муй кавәртты питԓәв?
Некоторых язей разделываем на шомах (подвяленная рыба).	tɵχ mewtiλəw wɛrλ'əλəw šɵməχa 	төх мэвтыԓәв вєрльәԓәв шөмәха
Язь сильно костлявый!	mewti wɛra λʉwəŋ 	мэвты вєра ԓўвәӈ
Я саламат не хочу, соленую рыбу поем.	ma soλamaten ăn λănχaλəm, suλăŋ χʉλ λɛλəm	ма соԓаматэн ӑн ԓӑнхаԓәм, суԓӑӈ хўԓ ԓєԓәм
		
Дети, идите кушать!	ńawrɛmət, jʉwati λɛti! 	ньаврємәт, йўваты ԓєты!
Спасибо! 	pɵmaśipa! 	пөмащипа!
Суп вкусный!	λaŋk jiŋken ɛpλəŋ 	ԓаӈк йиӈкен єпԓәӈ
Как хорошо! Спасибо!	śi χuti jăm! 	щи хуты йӑм!
Как я наелась/ся!	murta λɛsəm 	мурта ԓєсәм
Ой как вкусно было!	śi χuti ɛpλəŋ wɵs! 	щи хуты єпԓәӈ вөс!
Мне еще супу налей!	mănɛm pa λaŋk jiŋk puna! 	мӑнєм па ԓаӈк йиӈк пуна!
иди руки помой!	măna jošŋəλan λ'uχətaλi 	мӑна йошӈәԓан льухәтаԓы
Иди садись!	jʉwa omsa 	йўва омса
Иди помоги стол накрыть.	jʉwa păsana λɛtut oməsti ńota 	йўва пӑсана ԓєтут омәсты ньота
Кушай!	λɛwa! 	ԓєва!
Суп горячий!	λaŋk jiŋken kawrəm! 	ԓаӈк йиӈкен каврәм!
Соль принеси, в саламате соли мало.	suλ mija, soλamaten suλ šiməλ tăjλ 	суԓ мийа, соԓаматэн суԓ шимәԓ тӑйԓ
Принеси / подай соль.	suλ tʉwa 	суԓ тўва
Сахар подай.	sakər tʉwa 	сакәр тўва
Подуй немного (детям)	jɛša puλe 	йєша пуԓэ
Немного подожди, пусть остынет.	jɛša λawəλte, at potλa. 	йєша ԓавәԓтэ, ат потԓа.
Сиди спокойно! (если ребенок балуется)	roma omsa! 	рома омса!
Кушай, не разговаривай!	λɛwa, aλ putərta! 	ԓєва, аԓ путәрта!
Не торопись!	aλ tɛrmaλa! 	аԓ тєрмаԓа!
Я еще есть хочу (не наелся).	ma χuλna λɛti λăŋχaλəm	ма хуԓна ԓєты ԓӑӈхаԓәм
Немного не хватило (не наелся).	jɛša ănt tărmsajəm 	йєша ӑнт тӑрмсайәм
		
Я хочу горячего чаю!	ma λăŋχaλəm kawərəm šaj! 	ма ԓӑӈхаԓәм кавәрәм шай!
Я чай не буду пить.	ma šaj ăn jăńλəm	ма шай ӑн йӑньԓәм
Холодную воду попью.	potəm jiŋk jăńλəm	потәм йиӈк йӑньԓәм
Есть конфеты (к чаю)?	maw wɵλ?	мав вөԓ?
Есть конфеты к чаю? я с сахаром чай не пью.	maw tăjλən šaj piλa λɛti? ma sakkarəŋ šaj ăn jănλəm	мав тӑйԓән шай пиԓа ԓєты? ма саккарәӈ шай ӑн йӑнԓәм
		
Морс сварим.	wońśəmut jiŋk kawərλəw 	воньщәмут йиӈк кавәрԓәв
Сварим морс из брусники.	joχəm wońśəmut jiŋk kawərλəw 	йохәм воньщәмут йиӈк кавәрԓәв
брусника	joχəm wońśəmut 	йохәм воньщәмут
клюква	χuməswɵλ 	хумәсвөԓ
голубика	toχtəŋwɵλ 	тохтәӈвөԓ
черника	sewəpsi 	сэвәпсы
		
пирог с ягодами	wońśəmutəŋ ńań 	воньщәмутәӈ ньань
пирог с рыбой	χʉλəŋ ńań 	хўԓәӈ ньань
пирог с мясом	ńuχeŋ ńań 	ньухэӈ ньань
ватрушки с ягодами	wońśəmutəŋ aj ńań 	воньщәмутәӈ ай ньань
ватрушки	aj ńań 	ай ньань
пирожки (жареные)	paλəm ńań	паԓәм ньань
пирожки с мясом	ńuχəŋ paλəm ńań 	ньухәӈ паԓәм ньань
		
строганина	potəm ńuχi 	потәм ньухи
Нарежь строганину!	potəm ńuχi ewta / wɛra 	потәм ньухи эвта / вєра
