пойдем посмотрим ловушки	sɛsi wantti mănλəmən	сєсы вантты мăнԓəмəн
видел следы лося	kʉrəŋ woj păntət wantsəm	кўрəӈ вой пăнтəт вантсəм
вдруг встретишь лося	kamən kʉrəŋ woj wɵjtλən	камəн кўрəӈ вой вөйтԓəн
если попадется, завали	λikmaλ ki, pawte	ԓыкмаԓ ки, павтэ
мясо-то нам нужно	ńuχi minɛmən mosλ	њухи минємəн мосԓ
там лисьих следов много	śăta wuχsar pănt ar	щăта вухсар пăнт ар
соболиных следов было мало	ńuχəs pănt šiməλ wɵs	њухəс пăнт шимəԓ вөс
ну что?	ja χuti?	йа хуты?
видел что-нибудь?	muλti wantsən?	муԓты вантсəн?
видел!	wantsəm	вантсəм
стаю глухарок видел	lʉk păkət wantsəm	лўк пăкəт вантсəм
близко не подпускают	wana ănt ɛsəλλət	вана ăнт єсəԓԓəт
улетают	pɵrλaλət	пөрԓаԓəт
вместо этого я двух тетеревов добыл	śi jukana kăt kʉtri wɛλsəm	щи йукана кăт кўтры вєԓсəм
сегодня удачный день	tămχatλɛm ujaŋ	тăмхатԓєм уйаӈ
удача вошла!	uj śi λuŋəs	уй щи ԓуӈəс
соболя добыл	ńuχəs wɛλsəm	њухəс вєԓсəм
утром немножко походил и сразу нашел соболиные следы	aλən tɵp šɵšəmsəm, ńuχəs pănt wɵjtsəm	аԓəн төп шөшəмсəм, њухəс пăнт вөйтсəм
я по следу шёл, а он на другую сторону реки уходит	kʉš tɵtλ’əsəm, juχan pa pɛləka mănmaλ	кўш төтԓ’əсəм, йухан па пєлəка мăнмаԓ
видел лося	kʉrəŋ woj wantsəm	кўрəӈ вой вантсəм
ноги длинные, ушел	kʉrŋən χʉwŋən, măns	кўрӈəн хўвӈəн, мăнс
я его не догнал	eλti ăn juχətsɛm	эԓты ăн йухəтсєм
белок много добыл	λaŋki ar wɛλsəm	ԓаӈки ар вєԓсəм
по малому снегу пришли	aj λośən juχətsəmən	ай ԓощəн йухəтсəмəн
у меня была мелкокалиберная винтовка	aj pʉškan tăjsəm	ай пўшкан тăйсəм
один раз выстрелил -- не попал	i pʉš esəλsəm, ănt χojsəm	и пўш эсəԓсəм, ăнт хойсəм
второй раз попал	kimət pʉš χojsəm	кимəт пўш хойсəм
мимо выстрелил	muχti esəλsɛm	мухты эсəԓсєм
стреляй!	ɛsλa	єсԓа
не стреляй!	aλ ɛsλa	аԓ єсԓа
молодой глухарь	waŋkarɛŋ	ваӈкарєӈ
глухарь	lʉk	лўк
глухарка	χănšaŋ lʉk	хăншаӈ лўк
рябчик	pastek	пастэк
тетерев	kʉtəri	кўтəры
лось	kʉrəŋ woj	кўрəӈ вой
лиза	wuχsar	вухсар
росомаха	λošek	ԓошэк
росомаха	ńuχəs	њухəс
рябчик	pojtek	пойтэк
белка	λaŋki	ԓаӈки
горностай	sos	сос
утка	wasi	васы
гусь	λɵnt	ԓөнт
лебедь	χutəŋ	хутəӈ
перелетная птица	mort muw woj	морт мув вой
