Общение с детьми	7.0т	Pagina lapšinke	7.0 c	Pakina lapšen kera
Проголодаешься - поешь.	7.34т	nälläššyt niin šyöt	сев(34)	Kun olet näläštyn, šilloin ni šyöt
				
Мама укладывает ребенка.	7.35т	muamo panou muata lašta	сев(35)	Muamo panou lašta muate
Уже поздно	7.36т	on myöhä	сев(36)	On jo myöhä
Пора спать	7.37т	aiga muata	сев(37)	On aika muata
Утром рано вставать нужно	7.38т	huomnekšella pidäy aivommah noušša	сев(38)	Huomenekšella pitäy aikaseh havaččeutuo
Мама, не уходи.	7.39т	mama, elä uji	сев(39)	Mamma, elä lähe
Не выключай свет	7.40т	elä šammuta sviettuo	сев(40)	Elä šammuta valuo
Ты же знаешь, я боюсь темноты.	7.41т	šie vet’ tiijät, čto mie varajan pimiedä	сев(41)	Šiehän tiijät jotta varajan pimeyttä
Расскажи мне сказку	7.42т	šano miula šuarnazen	сев(42)	Šano miula starinua
Давай я спою колыбельную.	7.43т	davai mie laulan unilaulun	сев(43)	Mie laulan unilaulun
Я без света боюсь спать.	7.44т	mie varajan muata svietutta	сев(44)	Mie varajan muata pimeyveššä
				
Кукла	7.45т	muččone	сев(45)	Kuklani
Пойдём играть!	7.46т	läkki kizuamah!	сев(46)	Läkkä leikkimäh
Пойдём прятаться	7.47т	läkki peitteliečömäh	сев(47)	Läkkä peittäytymäh
Пойдём в мячик играть	7.48т	läkki kizuamah miäččyh	сев(48)	Läkkä palloh kisuamah
Погремушка	7.49т	helyne	сев(49)	helyni
Где погремушка?	7.50т	missä on helyne?	сев(50)	Missä on helyni?
Вот погремушка	7.51т	täššä on helyne	сев(51)	Täššä on helyni.
Какого цвета погремушка?	7.52т	midä cviettuo on helyne?	сев(52)	Min värini helyni on?
Она синяя/красная/зеленая/желтая	7.53т	že on sinine/ruškie/zel’onane/keldane	сев(53)	Še on šinini/ruškie/vihrie/keltani
Где мама?	7.54т	missä muamo on?	сев(54)	Missä muamo on?
Вот мама.	7.55т	täššä muamo on	сев(55)	Täššä muamo on.
дитятко/золотце/крошечка/любимая	7.56т	aigomane/kuldazeni/muruzeni/armahazeni	сев(56)	Lapšukkaini/kultaseni/muruseni/armahaini
игрушки	7.57т	bobot/leluzet	сев(57)	Kukkaset
где игрушка	7.58т	missä on bobone?	сев(58)	Missä on kukkani?
принеси мне мяч/мишку/игрушки	7.59т	tuo miula miäččy/kondie/bobozet	сев(59)	Tuo miula pallo/kontie/kukkaset
возьми игрушки с собой	7.60т	ota bobozet keralla	сев(60)	Ota kukkaset mukah
где твоя книжка?	7.61т	missä on šiun kniiga/kirja?	сев(61)	Missä on šiun kirja?
дай мне книгу	7.62т	ana miula kniiga/kirja	сев(62)	Anna miula kirja
возьми книгу в рюкзак	7.63т	ota kniiga/kirja rippuh	сев(63)	Ota kirja reppuh
где все носки?	7.64т	missä ollah kaikki šukat/noskat?	сев(64)	Missä kaikki šukat ollah?
вот они	7.65т	täššä ollah	сев(65)	Täššä ne ollah.
Найди чистую рубашку	7.66т	löyvvä puhaš paida	сев(66)	Löyvä puhaš paita 
принеси те брюки	7.67т	tuo ne br’ukat	сев(67)	Tuo nuo houšut
Нужно поискать куртку и шапку	7.68т	pidäy eččie kurtka da šuapka/huttu	сев(68)	Pitäy eččie takkiе ta lakkiе 
надень сапоги	7.69т	pane šuappuat jalgah	сев(69)	Pane šuappahat jalkah
сними шапку	7.70т	heitä huttu	сев(70)	Ota lakki pois
