Приготовление пищи. Трапеза	6.0т	Emannuš.  šyöndä		Ruoan laittamini. Šyömini
Ой как вкусно было!	6.26т	kuin oli magie!	сев(26)	Voi, kuin makie oli!
Мне еще супу налей!	6.27т	Pane miula vielä rokkua!	сев(27)	Pane miula vielä rokkua
иди руки помой!	6.28т	mäne peže kiät!	сев(28)	Mäne ta peše kiät!
Иди садись!	6.29т	mäne istuoče!	сев(29)	Mäne ta issu!
Иди помоги стол накрыть.	6.30т	mäne auta stolalla šyömizet panna!	сев(30)	Tule auttamah stolua kattuamah
Кушай!	6.31т	šyö!	сев(31)	Šyö
Суп горячий!	6.32т	rokka palava	сев(32)	Rokka on palava
Соль принеси.	6.33т	tuo šuolua	сев(33)	Tuo šuolua
Принеси / подай соль.	6.34т	tuo/annalla šuolua	сев(34)	Tua/anna šuolua
Сахар подай.	6.35т	annalla suaharuo	сев(35)	Anna šokerie
Подуй немного (детям)	6.36т	puhu vähäzen (lapšilla)	сев(36)	Puhu vähäsen.
Немного подожди, пусть остынет.	6.37т	vuota vähäzen, ana jähtyy	сев(37)	Vuota vähäsen, anna jähtyy
Сиди спокойно! (если ребенок балуется)	6.38т	issu tyynylleh!	сев(38)	Issu rauhašša
Кушай, не разговаривай!	6.39т	šyö, elä pagize	сев(39)	šyö ta elä pakaja
Не торопись!	6.40т	elä kiirähä	сев(40)	elä kiirehä
Я еще есть хочу (не наелся).	6.41т	mie vielä tahon šyvvä (en kylläššyn)	сев(41)	Mie tahon vielä šyyvvä
Немного не хватило (не наелся).	6.42т	vähäzen ei fatti (en kylläššyn)	сев(42)	Vielä vähäsen himottais šyyvvä
				
Я хочу горячего чаю!	6.43т	mie tahon palavua čuajuo!	сев(43)	Tahon kuumua čäijyö
Я чай не буду пить.	6.44т	mie čuajuo en rubie juomah	сев(44)	Mie en rupie čäijyö juomah
Холодную воду попью.	6.45т	juon viluo vettä	сев(45)	Juon viluo vettä
Есть конфеты (к чаю)?	6.46т	ollougo kanafetkua (čuajuh)?	сев(46)	Onko mitänih makieta?
я с сахаром чай не пью.	6.47т	mie suaharonke en juo.	сев(47)	Mie en juo šokerin kera
Морс сварим.	6.48т	keitämmä karbalovettä	сев(48)	Keitämmä morššie
Сварим морс из брусники.	6.49т	keitämmä buolavettä	сев(49)	Keitämmä marjavettä
брусника	6.50т	buola	сев(50)	puolukka
клюква	6.51т	karbalo	сев(51)	karpalo
малина	6.52т	vavarno	сев(52)	malina
черника	6.53т	mussikka	сев(53)	mussikka
пирог с ягодами	6.54т	marjapiirua	сев(54)	marjapiirua
пирог с рыбой	6.55т	kalapiirua	сев(55)	kalapiirua
пирог с мясом	6.56т	lihapiirua	сев(56)	lihapiirua
пирожки (жареные)	6.57т	obarnikat	сев(57)	paissetut piiruat
